eia_id,hifld_name,hifld_state,customers
20841,"WIREGRASS ELECTRIC COOP, INC",AL,26292
241,"ALBERTVILLE MUNICIPAL UTILITIES BOARD",AL,10501
30517,"PIONEER ELECTRIC COOP, INC - (AL)",AL,12911
3222,"CENTRAL ALABAMA ELECTRIC COOP",AL,46293
3426,"CHEROKEE ELECTRIC COOP",AL,25576
40127,"CLARKE-WASHINGTON E M C",AL,20545
4327,"COOSA VALLEY ELECTRIC COOP INC",AL,17835
4430,"COVINGTON ELECTRIC COOP, INC",AL,24214
4618,"CULLMAN ELECTRIC COOP, INC",AL,46870
4958,"DECATUR UTILITIES",AL,26786
5204,"DIXIE ELECTRIC COOP",AL,25826
5309,"CITY OF DOTHAN - (AL)",AL,31799
6422,"CITY OF FLORENCE - (AL)",AL,50481
6491,"FOLEY BOARD OF UTILITIES",AL,54659
750,"ARAB ELECTRIC COOP INC",AL,16344
9094,"CITY OF HUNTSVILLE - (AL)",AL,193502
944,"CITY OF ATHENS - (AL)",AL,53633
9739,"JOE WHEELER ELEC MEMBER CORP",AL,45098
10226,"UTILITY BOARD OF THE CITY OF KEY WEST, F",FL,31542
10376,"KISSIMMEE UTILITY AUTHORITY",FL,85744
10620,"CITY OF LAKE WORTH BEACH - (FL)",FL,27649
10623,"CITY OF LAKELAND - (FL)",FL,133118
10857,"LEE COUNTY ELECTRIC COOP, INC",FL,237333
10868,"CITY OF LEESBURG - (FL)",FL,28605
1300,"CITY OF BARTOW - (FL)",FL,12713
13485,"NEW SMYRNA BEACH CITY OF",FL,30711
13955,"CITY OF OCALA",FL,55997
14606,"PEACE RIVER ELECTRIC COOP, INC",FL,57090
14610,"ORLANDO UTILITIES COMM",FL,269172
18304,"SUMTER ELECTRIC COOP, INC",FL,230909
18360,"SUWANNEE VALLEY ELEC COOP INC",FL,28636
18445,"CITY OF TALLAHASSEE - (FL)",FL,122045
18449,"TALQUIN ELECTRIC COOP, INC",FL,56253
18454,"TAMPA ELECTRIC CO",FL,819767
